x,y,z
-3.0152,1.9513,0.023708
-3.0349,1.925,0.023642
-3.0544,1.8985,0.023577
-3.0736,1.8718,0.023513
-3.0926,1.8448,0.02345
-3.1113,1.8175,0.023388
-3.1297,1.7901,0.023327
-3.1478,1.7624,0.023268
-3.1657,1.7344,0.023209
-3.1832,1.7062,0.023151
-3.2005,1.6778,0.023095
-3.2175,1.6491,0.023039
-3.2343,1.6203,0.022985
-3.2507,1.5912,0.022931
-3.2668,1.5618,0.022879
-3.2827,1.5323,0.022827
-3.2982,1.5025,0.022777
-3.3135,1.4726,0.022727
-3.3284,1.4424,0.022679
-3.3431,1.412,0.022631
-3.3574,1.3814,0.022585
-3.3715,1.3505,0.022539
-3.3852,1.3195,0.022494
-3.3986,1.2883,0.022451
-3.4117,1.2569,0.022408
-3.4245,1.2253,0.022366
-3.437,1.1935,0.022325
-3.4492,1.1615,0.022286
-3.461,1.1294,0.022247
-3.4725,1.097,0.022209
-3.4837,1.0645,0.022172
-3.4946,1.0318,0.022135
-3.5051,0.99889,0.0221
-3.5153,0.96583,0.022066
-3.5252,0.93261,0.022032
-3.5347,0.89923,0.022
-3.544,0.86568,0.021968
-3.5528,0.83197,0.021937
-3.5614,0.7981,0.021908
-3.5696,0.76409,0.021879
-3.5774,0.72992,0.021851
-3.585,0.6956,0.021823
-3.5921,0.66115,0.021797
-3.599,0.62655,0.021772
-3.6054,0.59181,0.021747
-3.6116,0.55694,0.021724
-3.6174,0.52194,0.021701
-3.6228,0.48681,0.021679
-3.6279,0.45155,0.021658
-3.6326,0.41618,0.021637
-3.637,0.38068,0.021618
-3.641,0.34508,0.0216
-3.6447,0.30936,0.021582
-3.648,0.27353,0.021565
-3.6509,0.23759,0.021549
-3.6535,0.20156,0.021534
-3.6558,0.16543,0.02152
-3.6576,0.1292,0.021507
-3.6591,0.092884,0.021494
-3.6603,0.056478,0.021483
-3.6611,0.019988,0.021472
-3.6615,-0.016583,0.021462
-3.6615,-0.053231,0.021453
-3.6612,-0.089952,0.021444
-3.6605,-0.12674,0.021437
-3.6595,-0.1636,0.02143
-3.6581,-0.20053,0.021424
-3.6563,-0.23751,0.02142
-3.6541,-0.27454,0.021415
-3.6516,-0.31163,0.021412
-3.6487,-0.34877,0.02141
-3.6454,-0.38596,0.021408
-3.6417,-0.42318,0.021408
-3.6377,-0.46045,0.021408
-3.6333,-0.49775,0.021409
